DS1,DpB,T1,deltaT,P,M01,VA,TS1,YuntA
1644.0,295.0,83.0,0.485,323.11,83.98,368.0,35.03,0.2
1635.0,296.0,85.0,0.805,323.16,85.02,353.0,34.58,0.22
1643.0,315.0,86.0,0.919,318.15,84.53,314.0,35.3,0.21
1636.0,307.0,88.0,1.111,320.74,79.74,334.0,35.18,0.2
1649.0,306.0,88.0,1.269,320.76,84.5,461.0,35.34,0.21
1655.0,326.0,87.0,1.213,316.73,84.88,335.0,34.92,0.21
1666.0,325.0,89.0,1.174,320.1,85.01,284.0,33.17,0.21
1671.0,305.0,87.0,0.96,321.44,83.6,400.0,33.04,0.22
1655.0,306.0,87.0,0.756,321.83,84.89,402.0,34.05,0.2
1625.0,311.0,87.0,1.191,321.04,80.88,318.0,34.6,0.21
1634.0,320.0,88.0,1.381,321.77,81.55,280.0,34.44,0.22
1633.0,301.0,87.0,1.555,322.38,82.1,313.0,36.21,0.22
1644.0,318.0,88.0,1.449,321.94,82.64,285.0,35.54,0.2
1624.0,318.0,89.0,1.352,322.21,81.26,301.0,34.56,0.21
1616.0,302.0,88.0,1.343,323.84,80.21,343.0,35.14,0.22
1670.0,252.0,86.0,0.867,318.31,84.19,368.0,36.28,0.21
1664.0,283.0,83.0,1.16,317.97,84.28,406.0,35.72,0.2
1673.0,275.0,83.0,1.017,318.19,86.56,443.0,37.71,0.21
1656.0,184.0,81.0,0.982,326.78,83.07,470.0,32.4,0.19
1628.0,307.0,85.0,1.105,322.82,84.01,355.0,31.94,0.2
1646.0,305.0,82.0,1.173,331.06,81.63,585.0,31.21,0.2
1631.0,301.0,83.0,1.226,327.74,84.38,444.0,31.78,0.2
1650.0,312.0,84.0,1.424,322.7,83.23,301.0,32.4,0.21
1650.0,327.0,83.0,1.462,322.81,88.03,373.0,31.22,0.2
1632.0,313.0,85.0,1.499,324.18,84.33,433.0,32.62,0.21
1654.0,308.0,84.0,1.307,323.15,83.87,402.0,31.36,0.21
1681.0,299.0,84.0,1.088,325.76,81.2,522.0,32.38,0.2
1659.0,306.0,82.0,1.286,328.49,81.92,529.0,31.28,0.2
1652.0,283.0,85.0,1.201,323.04,85.08,408.0,34.95,0.21
1645.0,324.0,84.0,1.016,321.14,83.86,423.0,32.6,0.2
1642.0,309.0,86.0,1.331,319.99,85.37,424.0,33.43,0.2
1640.0,315.0,85.0,1.408,324.51,83.21,381.0,31.25,0.2
1652.0,280.0,85.0,1.035,325.26,84.58,454.0,31.48,0.2
1631.0,310.0,90.0,1.012,323.33,84.57,357.0,33.82,0.2
1625.0,316.0,91.0,0.748,330.62,79.41,325.0,32.5,0.21
1642.0,262.0,89.0,0.883,328.69,82.31,513.0,33.08,0.2
1635.0,310.0,92.0,1.37,321.68,84.21,368.0,34.06,0.21
1646.0,322.0,91.0,1.467,322.24,84.46,305.0,32.12,0.21
1630.0,319.0,91.0,1.352,319.8,84.61,358.0,33.54,0.2
1623.0,306.0,89.0,1.374,316.91,82.14,326.0,33.95,0.2
1618.0,297.0,88.0,1.323,321.84,84.57,457.0,31.09,0.21
1617.0,308.0,89.0,0.868,316.82,84.44,330.0,32.78,0.2
1648.0,223.0,88.0,0.926,321.08,86.82,388.0,33.36,0.2
1656.0,245.0,88.0,0.935,318.71,87.59,404.0,34.56,0.21
1607.0,256.0,86.0,1.335,322.04,87.07,400.0,35.43,0.2
1653.0,243.0,87.0,1.05,316.95,90.29,379.0,32.7,0.2
1626.0,257.0,88.0,1.45,315.53,89.04,331.0,34.49,0.21
1615.0,266.0,89.0,1.335,314.89,87.05,406.0,35.78,0.2
1628.0,269.0,89.0,1.497,318.14,85.22,443.0,33.9,0.2
1642.0,238.0,88.0,1.051,318.1,89.57,387.0,33.34,0.21
1640.0,262.0,88.0,1.136,322.81,87.25,427.0,34.05,0.22
1647.0,232.0,90.0,1.048,317.08,87.72,430.0,34.59,0.22
1648.0,245.0,89.0,0.991,315.53,90.45,429.0,34.37,0.21
1624.0,242.0,90.0,0.949,314.82,91.53,403.0,33.14,0.2
1613.0,234.0,90.0,1.263,315.03,93.27,450.0,34.57,0.23
1611.0,200.0,89.0,0.711,316.91,86.98,431.0,34.74,0.21
1647.0,179.0,88.0,0.645,325.3,82.71,507.0,32.8,0.22
1621.0,278.0,89.0,1.186,323.14,83.03,311.0,34.79,0.23
1637.0,252.0,90.0,1.279,319.81,88.01,403.0,37.68,0.2
1627.0,294.0,89.0,1.47,323.43,86.38,453.0,35.38,0.2
1623.0,234.0,86.0,0.975,328.58,80.75,367.0,33.72,0.22
1632.0,235.0,89.0,1.359,323.52,83.35,367.0,36.94,0.22
1621.0,258.0,91.0,1.479,319.66,88.47,416.0,32.13,0.21
1627.0,270.0,92.0,1.437,319.59,89.36,403.0,36.24,0.2
1634.0,279.0,90.0,1.342,321.31,86.3,454.0,34.2,0.21
1629.0,272.0,90.0,1.38,323.12,84.25,357.0,33.47,0.22
1612.0,264.0,90.0,1.613,324.63,88.07,374.0,35.24,0.22
1599.0,231.0,90.0,1.472,324.79,93.28,453.0,33.45,0.22
1622.0,188.0,87.0,1.152,327.54,89.95,492.0,36.44,0.2
1601.0,250.0,90.0,1.403,325.26,99.93,452.0,32.81,0.21
1605.0,247.0,89.0,1.44,318.27,97.07,427.0,31.76,0.2
1630.0,270.0,88.0,1.192,325.62,90.92,525.0,35.84,0.21
1648.0,160.0,85.0,0.995,330.42,85.0,422.0,34.38,0.19
1631.0,203.0,89.0,1.471,326.53,85.74,371.0,32.08,0.21
1600.0,271.0,88.0,1.436,327.11,89.8,416.0,34.68,0.2
1600.0,272.0,89.0,1.484,322.52,89.8,470.0,32.22,0.2
1619.0,228.0,87.0,1.174,319.64,86.34,422.0,31.8,0.21
1613.0,255.0,84.0,1.57,323.77,87.38,452.0,35.43,0.19
1637.0,256.0,85.0,1.434,324.98,87.3,478.0,32.26,0.2
