DS1,DpB,T3,VA,YseA,D2
1625.0,234.0,82.41,355.0,0.15,404.5
1620.0,242.0,82.73,409.0,0.14,416.0
1628.0,242.0,82.4,401.0,0.17,382.0
1622.0,235.0,82.18,418.0,0.18,377.0
1624.0,230.0,82.11,480.0,0.18,381.5
1639.0,222.0,82.15,452.0,0.13,346.0
1653.0,210.0,82.45,542.0,0.15,320.5
1635.0,245.0,82.11,358.0,0.15,366.5
1636.0,222.0,82.07,492.0,0.14,350.5
1619.0,225.0,81.97,587.0,0.15,340.0
1626.0,241.0,81.68,460.0,0.18,351.0
1645.0,190.0,82.0,531.0,0.16,332.5
1632.0,242.0,82.03,452.0,0.12,364.5
1638.0,242.0,82.09,476.0,0.22,349.5
1636.0,245.0,81.88,400.0,0.18,357.5
1626.0,271.0,82.23,391.0,0.16,419.0
1622.0,275.0,82.09,389.0,0.17,419.0
1650.0,228.0,82.41,406.0,0.15,359.0
1635.0,237.0,82.51,364.0,0.14,373.5
1637.0,262.0,82.04,367.0,0.16,394.0
1614.0,248.0,81.95,510.0,0.17,369.0
1617.0,238.0,81.96,431.0,0.17,360.0
1610.0,219.0,82.0,500.0,0.18,363.0
1613.0,228.0,82.1,463.0,0.16,354.5
1626.0,248.0,82.18,478.0,0.11,376.5
1638.0,241.0,82.35,476.0,0.15,355.5
1644.0,234.0,82.31,455.0,0.13,353.0
1645.0,226.0,82.25,433.0,0.1,364.0
1653.0,259.0,82.2,445.0,0.13,367.5
1635.0,223.0,82.76,476.0,0.17,332.5
1666.0,240.0,82.9,493.0,0.15,370.5
1644.0,236.0,82.07,492.0,0.2,379.5
1633.0,258.0,82.06,499.0,0.14,382.0
1654.0,168.0,82.34,505.0,0.21,398.0
1675.0,266.0,82.35,487.0,0.18,376.5
1642.0,272.0,82.58,438.0,0.2,391.5
1638.0,265.0,81.97,449.0,0.17,398.5
1616.0,270.0,81.79,428.0,0.22,423.5
1636.0,258.0,81.58,508.0,0.15,366.0
1637.0,245.0,80.99,635.0,0.22,336.5
1631.0,233.0,82.45,429.0,0.2,370.0
1615.0,261.0,82.23,451.0,0.15,391.0
1626.0,242.0,81.58,494.0,0.15,359.0
1625.0,246.0,82.24,484.0,0.14,373.5
1608.0,223.0,82.13,544.0,0.13,344.5
1634.0,143.0,82.14,531.0,0.2,359.5
1610.0,244.0,82.42,447.0,0.12,403.5
1613.0,254.0,82.13,490.0,0.22,368.0
1633.0,234.0,82.28,435.0,0.2,356.5
1645.0,154.0,82.23,555.0,0.16,361.0
1625.0,261.0,82.67,486.0,0.18,403.0
1640.0,240.0,82.82,396.0,0.15,361.0
1574.0,255.0,80.92,480.0,0.18,361.5
1627.0,276.0,82.41,377.0,0.19,420.5
1642.0,153.0,82.07,453.0,0.21,361.5
1605.0,274.0,82.47,466.0,0.15,385.5
1600.0,239.0,82.32,527.0,0.12,378.0
1648.0,275.0,82.9,424.0,0.17,381.0
1639.0,303.0,82.42,397.0,0.14,411.5
1626.0,280.0,82.57,473.0,0.14,406.5
1622.0,293.0,82.85,425.0,0.16,397.0
1633.0,281.0,82.16,392.0,0.14,441.0
1634.0,279.0,82.64,483.0,0.19,400.5
1647.0,274.0,82.3,439.0,0.17,382.5
1640.0,283.0,82.44,504.0,0.15,369.0
1642.0,281.0,82.47,435.0,0.19125,377.5
