DpB,T1,T3,T4,P,M01,Ds,YuntB
291.0,84.0,82.3,81.64,321.02,85.86,1504.0,0.19
293.0,83.0,82.39,81.75,319.98,87.17,1495.0,0.2
315.0,85.0,82.14,81.68,319.5,88.12,1492.0,0.22
306.0,86.0,81.93,81.41,319.86,85.58,1493.0,0.21
301.0,85.0,81.97,81.3,322.49,85.4,1493.0,0.22
325.0,84.0,81.73,80.8,319.64,88.72,1499.0,0.2
323.0,84.0,81.99,80.81,319.99,83.4,1509.0,0.2
313.0,85.0,82.24,81.09,319.51,81.8,1499.0,0.21
295.0,83.0,82.08,81.59,323.11,83.98,1499.0,0.21
296.0,85.0,82.23,81.42,323.16,85.02,1465.0,0.21
315.0,86.0,82.2,81.28,318.15,84.53,1503.0,0.2
307.0,88.0,82.07,80.96,320.74,79.74,1491.0,0.19
306.0,88.0,82.65,81.38,320.76,84.5,1500.0,0.2
326.0,87.0,82.47,81.26,316.73,84.88,1509.0,0.19
325.0,89.0,82.45,81.27,320.1,85.01,1489.0,0.22
305.0,87.0,82.07,81.11,321.44,83.6,1486.0,0.21
306.0,87.0,82.26,81.51,321.83,84.89,1487.0,0.2
311.0,87.0,81.59,80.39,321.04,80.88,1487.0,0.22
320.0,88.0,81.83,80.45,321.77,81.55,1492.0,0.21
301.0,87.0,82.17,80.61,322.38,82.1,1506.0,0.2
318.0,88.0,82.47,81.02,321.94,82.64,1507.0,0.19
318.0,89.0,82.31,80.96,322.21,81.26,1497.0,0.2
302.0,88.0,82.24,80.9,323.84,80.21,1500.0,0.21
252.0,86.0,81.03,81.28,318.31,84.19,1507.0,0.23
283.0,83.0,82.03,80.87,317.97,84.28,1499.0,0.21
275.0,83.0,82.35,81.33,318.19,86.56,1525.0,0.2
184.0,81.0,81.8,80.82,326.78,83.07,1480.0,0.2
307.0,85.0,82.06,80.95,322.82,84.01,1470.0,0.19
305.0,82.0,81.76,80.59,331.06,81.63,1460.0,0.21
301.0,83.0,82.21,80.98,327.74,84.38,1460.0,0.19
312.0,84.0,82.12,80.7,322.7,83.23,1480.0,0.2
327.0,83.0,82.53,81.07,322.81,88.03,1469.0,0.21
313.0,85.0,82.3,80.8,324.18,84.33,1474.0,0.22
308.0,84.0,82.4,81.09,323.15,83.87,1471.0,0.19
299.0,84.0,81.95,80.86,325.76,81.2,1476.0,0.2
306.0,82.0,82.05,80.77,328.49,81.92,1468.0,0.21
283.0,85.0,82.41,81.21,323.04,85.08,1495.0,0.2
324.0,84.0,82.07,81.06,321.14,83.86,1479.0,0.19
309.0,86.0,82.31,80.98,319.99,85.37,1482.0,0.21
315.0,85.0,82.42,81.01,324.51,83.21,1471.0,0.19
280.0,85.0,82.08,81.04,325.26,84.58,1469.0,0.21
310.0,90.0,82.12,81.11,323.33,84.57,1472.0,0.21
316.0,91.0,81.55,80.8,330.62,79.41,1462.0,0.21
262.0,89.0,82.05,81.17,328.69,82.31,1465.0,0.21
310.0,92.0,82.47,81.1,321.68,84.21,1480.0,0.2
322.0,91.0,82.58,81.11,322.24,84.46,1471.0,0.21
319.0,91.0,82.47,81.12,319.8,84.61,1480.0,0.21
306.0,89.0,82.2,80.83,316.91,82.14,1482.0,0.2
297.0,88.0,82.58,81.26,321.84,84.57,1461.0,0.2
308.0,89.0,82.39,81.51,316.82,84.44,1484.0,0.21
223.0,88.0,82.93,82.01,321.08,86.82,1490.0,0.21
245.0,88.0,82.55,81.61,318.71,87.59,1498.0,0.21
256.0,86.0,82.24,80.9,322.04,87.07,1503.0,0.22
243.0,87.0,82.5,81.45,316.95,90.29,1478.0,0.21
257.0,88.0,82.18,80.73,315.53,89.04,1500.0,0.2
266.0,89.0,82.0,80.66,314.89,87.05,1506.0,0.2
269.0,89.0,82.28,80.78,318.14,85.22,1490.0,0.2
238.0,88.0,82.65,81.6,318.1,89.57,1480.0,0.2
262.0,88.0,82.17,81.04,322.81,87.25,1493.0,0.21
232.0,90.0,82.58,81.53,317.08,87.72,1493.0,0.23
245.0,89.0,82.55,81.56,315.53,90.45,1495.0,0.2
242.0,90.0,82.33,81.38,314.82,91.53,1493.0,0.2
234.0,90.0,82.27,81.0,315.03,93.27,1494.0,0.23
200.0,89.0,81.1,80.39,316.91,86.98,1500.0,0.21
179.0,88.0,81.04,80.4,325.3,82.71,1475.0,0.2
278.0,89.0,82.36,81.17,323.14,83.03,1495.0,0.23
252.0,90.0,82.34,81.06,319.81,88.01,1520.0,0.19
294.0,89.0,82.31,80.84,323.43,86.38,1496.0,0.2
234.0,86.0,81.86,80.89,328.58,80.75,1487.0,0.22
235.0,89.0,82.16,80.8,323.52,83.35,1514.0,0.22
258.0,91.0,82.26,80.79,319.66,88.47,1477.0,0.2
270.0,92.0,82.21,80.77,319.59,89.36,1511.0,0.21
279.0,90.0,82.03,80.68,321.31,86.3,1491.0,0.23
272.0,90.0,81.51,80.13,323.12,84.25,1481.0,0.22
264.0,90.0,81.98,80.36,324.63,88.07,1498.0,0.23
231.0,90.0,82.36,80.89,324.79,93.28,1483.0,0.2
188.0,87.0,81.9,80.75,327.54,89.95,1506.0,0.2
250.0,90.0,82.42,81.02,325.26,99.93,1482.0,0.2
247.0,89.0,82.06,80.62,318.27,97.07,1474.0,0.22
270.0,88.0,81.9,80.71,325.62,90.92,1508.0,0.2
