D1,DS1,DpB,T4,P,M01,TS1,YsynB
234.0,1628.0,307.0,80.95,322.82,84.01,31.94,0.59
165.0,1646.0,305.0,80.59,331.06,81.63,31.21,0.58
202.0,1631.0,301.0,80.98,327.74,84.38,31.78,0.61
231.0,1650.0,312.0,80.7,322.7,83.23,32.4,0.62
231.0,1650.0,327.0,81.07,322.81,88.03,31.22,0.6
232.0,1632.0,313.0,80.8,324.18,84.33,32.62,0.57
221.0,1654.0,308.0,81.09,323.15,83.87,31.36,0.61
165.0,1681.0,299.0,80.86,325.76,81.2,32.38,0.6
172.0,1659.0,306.0,80.77,328.49,81.92,31.28,0.59
207.0,1652.0,283.0,81.21,323.04,85.08,34.95,0.6
193.0,1645.0,324.0,81.06,321.14,83.86,32.6,0.61
245.0,1642.0,309.0,80.98,319.99,85.37,33.43,0.57
212.0,1640.0,315.0,81.01,324.51,83.21,31.25,0.63
209.0,1652.0,280.0,81.04,325.26,84.58,31.48,0.62
233.0,1631.0,310.0,81.11,323.33,84.57,33.82,0.54
207.0,1625.0,316.0,80.8,330.62,79.41,32.5,0.56
185.0,1642.0,262.0,81.17,328.69,82.31,33.08,0.54
234.0,1635.0,310.0,81.1,321.68,84.21,34.06,0.55
241.0,1646.0,322.0,81.11,322.24,84.46,32.12,0.57
225.0,1630.0,319.0,81.12,319.8,84.61,33.54,0.59
239.0,1623.0,306.0,80.83,316.91,82.14,33.95,0.56
250.0,1618.0,297.0,81.26,321.84,84.57,31.09,0.59
239.0,1617.0,308.0,81.51,316.82,84.44,32.78,0.56
225.0,1648.0,223.0,82.01,321.08,86.82,33.36,0.55
240.0,1656.0,245.0,81.61,318.71,87.59,34.56,0.55
244.0,1607.0,256.0,80.9,322.04,87.07,35.43,0.55
215.0,1653.0,243.0,81.45,316.95,90.29,32.7,0.52
239.0,1626.0,257.0,80.73,315.53,89.04,34.49,0.55
256.0,1615.0,266.0,80.66,314.89,87.05,35.78,0.57
239.0,1628.0,269.0,80.78,318.14,85.22,33.9,0.55
249.0,1642.0,238.0,81.6,318.1,89.57,33.34,0.58
220.0,1640.0,262.0,81.04,322.81,87.25,34.05,0.57
222.0,1647.0,232.0,81.53,317.08,87.72,34.59,0.58
244.0,1648.0,245.0,81.56,315.53,90.45,34.37,0.58
239.0,1624.0,242.0,81.38,314.82,91.53,33.14,0.58
257.0,1613.0,234.0,81.0,315.03,93.27,34.57,0.58
195.0,1611.0,200.0,80.39,316.91,86.98,34.74,0.59
170.0,1647.0,179.0,80.4,325.3,82.71,32.8,0.61
246.0,1621.0,278.0,81.17,323.14,83.03,34.79,0.63
235.0,1637.0,252.0,81.06,319.81,88.01,37.68,0.6
236.0,1627.0,294.0,80.84,323.43,86.38,35.38,0.62
177.0,1623.0,234.0,80.89,328.58,80.75,33.72,0.61
189.0,1632.0,235.0,80.8,323.52,83.35,36.94,0.61
253.0,1621.0,258.0,80.79,319.66,88.47,32.13,0.62
239.0,1627.0,270.0,80.77,319.59,89.36,36.24,0.64
211.0,1634.0,279.0,80.68,321.31,86.3,34.2,0.61
263.0,1629.0,272.0,80.13,323.12,84.25,33.47,0.6
254.0,1612.0,264.0,80.36,324.63,88.07,35.24,0.59
251.0,1599.0,231.0,80.89,324.79,93.28,33.45,0.57
195.0,1622.0,188.0,80.75,327.54,89.95,36.44,0.59
259.0,1601.0,250.0,81.02,325.26,99.93,32.81,0.58
254.0,1605.0,247.0,80.62,318.27,97.07,31.76,0.57
203.0,1630.0,270.0,80.71,325.62,90.92,35.84,0.58
169.0,1648.0,160.0,80.69,330.42,85.0,34.38,0.56
204.0,1631.0,203.0,80.83,326.53,85.74,32.08,0.57
240.0,1600.0,271.0,80.77,327.11,89.8,34.68,0.58
262.0,1600.0,272.0,80.57,322.52,89.8,32.22,0.59
223.0,1619.0,228.0,80.62,319.64,86.34,31.8,0.58
225.0,1613.0,255.0,80.69,323.77,87.38,35.43,0.59
211.0,1637.0,256.0,80.91,324.98,87.3,32.26,0.56
227.0,1633.0,262.0,80.85,323.64,89.04,34.51,0.58
237.0,1643.0,273.0,80.75,319.86,91.25,35.67,0.57
236.0,1617.0,252.0,80.44,318.3,88.23,34.79,0.61
256.0,1657.0,245.0,81.31,318.02,87.09,36.23,0.58
226.0,1633.0,238.0,81.4,317.49,88.41,32.53,0.58
211.0,1647.0,232.0,81.33,323.15,88.92,34.67,0.59
207.0,1653.0,221.0,81.47,323.6,89.05,34.4,0.6
193.0,1639.0,258.0,81.33,324.3,89.4,33.71,0.58
210.0,1666.0,263.0,81.4,323.09,90.5,34.2,0.59
233.0,1641.0,248.0,81.41,319.67,90.85,32.33,0.56
200.0,1645.0,241.0,81.71,326.35,90.04,34.17,0.56
203.0,1672.0,255.0,81.38,318.76,90.43,33.97,0.55
251.0,1665.0,230.0,81.52,316.95,89.85,34.43,0.57
185.0,1679.0,227.0,81.35,320.67,90.6,33.54,0.59
192.0,1663.0,254.0,81.43,324.56,90.03,33.3,0.58
186.0,1666.0,261.0,81.8,325.49,89.64,31.97,0.59
198.0,1655.0,259.0,81.82,323.51,89.5,32.18,0.6
225.0,1642.0,250.0,81.95,319.44,91.48,34.78,0.59
204.0,1652.0,261.0,81.82,321.7,90.8,33.82,0.6
188.0,1676.0,223.0,81.31,325.41,88.38,34.58,0.57
248.0,1664.0,246.0,81.3,312.29,89.92,34.27,0.58
258.0,1645.0,252.0,81.15,309.99,91.92,36.44,0.59
207.0,1648.0,237.0,81.04,326.5,87.25,33.72,0.6
186.0,1656.0,219.0,81.61,329.12,87.91,33.85,0.56
191.0,1660.0,231.0,81.72,329.94,89.3,35.03,0.57
184.0,1661.0,224.0,81.77,326.66,90.37,34.43,0.59
205.0,1625.0,225.0,81.9,323.28,90.75,33.64,0.58
208.0,1618.0,231.0,81.06,318.24,89.56,32.46,0.6
189.0,1676.0,234.0,82.01,323.78,88.76,35.79,0.57
198.0,1644.0,227.0,81.76,321.05,88.76,35.67,0.57
220.0,1620.0,252.0,81.65,323.13,89.52,33.89,0.6
259.0,1605.0,267.0,81.78,319.55,93.31,37.47,0.59
212.0,1630.0,226.0,81.93,317.7,89.99,36.68,0.59
204.0,1606.0,218.0,81.08,324.72,90.18,32.17,0.57
210.0,1634.0,244.0,81.66,320.87,90.16,36.58,0.56
230.0,1611.0,241.0,81.56,321.56,88.87,35.15,0.58
213.0,1618.0,216.0,81.54,323.57,89.22,35.45,0.59
206.0,1616.0,216.0,81.68,325.58,89.5,35.37,0.59
199.0,1638.0,215.0,81.5,325.73,89.2,35.55,0.6
204.0,1636.0,224.0,81.79,322.52,89.27,35.98,0.59
236.0,1618.0,224.0,82.16,320.72,90.41,36.98,0.55
263.0,1610.0,263.0,81.46,312.52,91.6,36.72,0.59
244.0,1608.0,241.0,81.52,315.28,91.63,36.1,0.6
229.0,1627.0,231.0,81.48,316.95,89.37,37.02,0.56
213.0,1630.0,239.0,81.58,318.31,90.52,36.63,0.57
223.0,1611.0,231.0,81.87,320.92,89.64,35.71,0.56
227.0,1631.0,238.0,81.95,321.45,89.47,34.71,0.55
172.0,1628.0,196.0,81.11,325.23,90.04,35.41,0.58
171.0,1646.0,195.0,81.46,329.38,89.0,35.06,0.56
174.0,1660.0,210.0,81.12,330.97,85.31,34.89,0.55
174.0,1625.0,198.0,80.77,325.38,85.58,37.07,0.57
187.0,1629.0,201.0,81.05,325.94,86.93,34.03,0.55
219.0,1626.0,199.0,81.85,323.63,89.59,34.39,0.56
218.0,1621.0,235.0,81.18,322.28,89.27,36.85,0.57
197.0,1616.0,220.0,80.83,324.59,87.57,35.38,0.55
201.0,1611.0,214.0,81.17,328.97,87.59,35.02,0.56
204.0,1635.0,220.0,81.17,329.82,86.93,33.55,0.57
194.0,1642.0,228.0,80.83,330.08,86.46,34.05,0.56
190.0,1621.0,219.0,80.92,330.42,86.44,34.94,0.54
212.0,1601.0,216.0,81.06,330.24,86.53,34.52,0.54
216.0,1624.0,216.0,81.6,326.38,88.46,38.42,0.58
208.0,1636.0,233.0,81.46,315.78,88.95,36.74,0.56
231.0,1633.0,226.0,81.76,314.9,90.0,37.48,0.55
261.0,1618.0,254.0,81.67,315.01,88.97,37.45,0.58
219.0,1611.0,234.0,80.71,325.58,85.57,33.62,0.55
254.0,1614.0,220.0,81.67,324.35,89.02,35.47,0.57
237.0,1624.0,210.0,81.27,316.24,89.61,36.8,0.56
265.0,1618.0,267.0,80.54,317.25,89.21,36.71,0.56
190.0,1643.0,230.0,80.84,333.87,87.5,35.99,0.57
224.0,1652.0,235.0,81.06,326.15,89.18,35.46,0.58
237.0,1639.0,264.0,81.44,326.23,90.04,35.77,0.56
194.0,1635.0,244.0,81.03,315.59,86.49,34.82,0.59
191.0,1646.0,200.0,81.33,314.41,87.13,35.73,0.58
189.0,1643.0,243.0,80.99,315.61,87.36,35.04,0.57
198.0,1646.0,264.0,80.68,315.92,86.3,34.17,0.57
239.0,1622.0,240.0,80.98,319.95,88.92,35.72,0.57
199.0,1638.0,216.0,80.88,320.71,88.72,35.39,0.57
192.0,1655.0,241.0,80.72,325.74,88.62,36.4,0.56
200.0,1646.0,237.0,81.13,323.14,88.75,34.11,0.57
252.0,1600.0,240.0,81.13,320.52,89.79,33.96,0.58
216.0,1619.0,244.0,81.24,325.09,88.25,34.59,0.57
208.0,1664.0,247.0,81.42,321.9,89.65,36.22,0.57
229.0,1662.0,252.0,81.41,316.43,91.26,35.7,0.56
236.0,1638.0,269.0,81.24,315.21,89.52,34.62,0.57
242.0,1598.0,245.0,81.2,318.66,91.69,35.97,0.56
266.0,1639.0,259.0,81.43,311.94,93.21,35.92,0.56
235.0,1649.0,250.0,82.01,316.68,92.62,33.86,0.55
248.0,1634.0,242.0,81.28,312.59,93.94,34.18,0.56
267.0,1605.0,252.0,80.83,314.92,93.59,36.0,0.56
217.0,1653.0,259.0,81.43,315.19,95.22,33.18,0.56
264.0,1630.0,276.0,80.87,314.38,93.21,32.79,0.57
209.0,1637.0,258.0,80.67,321.12,90.92,34.35,0.56
210.0,1652.0,239.0,80.74,320.14,91.45,33.74,0.56
209.0,1654.0,261.0,80.99,320.0,91.79,33.26,0.57
217.0,1657.0,248.0,81.0,319.81,91.46,33.18,0.55
265.0,1623.0,276.0,81.45,313.99,92.72,34.2,0.57
260.0,1627.0,244.0,81.98,315.58,92.29,32.82,0.56
227.0,1620.0,246.0,81.18,316.17,90.54,33.2,0.57
205.0,1620.0,188.0,80.87,317.85,89.84,32.27,0.57
180.0,1641.0,158.0,81.29,322.53,90.14,35.67,0.57
251.0,1625.0,234.0,81.45,319.27,91.69,35.97,0.57
245.0,1620.0,242.0,81.73,317.63,92.82,33.54,0.57
234.0,1628.0,242.0,81.69,321.04,90.36,34.04,0.55
217.0,1622.0,235.0,81.53,314.21,91.31,34.13,0.56
205.0,1624.0,230.0,81.53,324.14,89.31,33.77,0.57
195.0,1639.0,222.0,81.39,327.02,88.78,34.38,0.56
200.0,1653.0,210.0,81.33,324.98,90.14,34.45,0.58
213.0,1635.0,245.0,81.48,319.58,91.79,35.7,0.57
224.0,1636.0,222.0,80.87,320.61,90.61,34.2,0.58
189.0,1619.0,225.0,80.95,326.81,89.11,33.75,0.57
200.0,1626.0,241.0,80.96,321.94,90.26,34.91,0.56
169.0,1645.0,190.0,80.94,332.07,88.19,33.8,0.54
224.0,1632.0,242.0,81.25,321.29,91.75,34.08,0.56
225.0,1638.0,242.0,81.47,324.31,91.24,33.18,0.54
215.0,1636.0,245.0,81.24,316.43,92.66,34.33,0.56
243.0,1626.0,271.0,80.88,314.99,93.11,34.26,0.57
245.0,1622.0,275.0,81.03,315.0,93.21,32.99,0.56
213.0,1650.0,228.0,81.62,318.48,90.38,33.05,0.57
251.0,1635.0,237.0,81.44,315.06,91.01,35.27,0.56
245.0,1637.0,262.0,81.23,314.05,91.89,33.22,0.55
211.0,1614.0,248.0,80.64,323.38,88.92,34.71,0.55
226.0,1617.0,238.0,81.43,319.37,88.7,35.16,0.56
228.0,1610.0,219.0,81.39,319.32,89.58,32.79,0.57
232.0,1613.0,228.0,81.55,322.35,88.86,34.46,0.55
213.0,1626.0,248.0,81.14,319.75,88.83,34.18,0.57
217.0,1638.0,241.0,81.5,319.33,91.14,33.74,0.56
219.0,1644.0,234.0,81.55,315.22,92.06,33.5,0.58
218.0,1645.0,226.0,81.41,318.11,90.8,33.95,0.56
219.0,1653.0,259.0,81.06,318.06,91.29,34.07,0.57
217.0,1635.0,223.0,80.6,323.34,87.81,35.66,0.56
209.0,1666.0,240.0,81.34,319.96,90.53,34.09,0.57
193.0,1644.0,236.0,80.87,319.85,86.85,34.04,0.55
236.0,1633.0,258.0,80.42,317.66,86.57,33.5,0.58
156.0,1654.0,168.0,81.14,326.74,85.32,33.47,0.58
183.0,1675.0,266.0,81.09,319.78,86.54,35.03,0.58
218.0,1642.0,272.0,81.18,319.51,87.68,34.03,0.57
241.0,1638.0,265.0,80.42,318.64,89.65,33.64,0.58
249.0,1616.0,270.0,80.19,319.99,89.57,34.69,0.59
197.0,1636.0,258.0,80.39,327.58,87.48,32.95,0.56
165.0,1637.0,245.0,79.88,330.3,84.86,33.59,0.58
237.0,1631.0,233.0,80.98,323.88,88.85,34.95,0.59
234.0,1615.0,261.0,80.83,319.75,87.7,33.72,0.57
199.0,1626.0,242.0,80.28,321.21,86.27,33.29,0.57
232.0,1625.0,246.0,80.69,324.26,85.77,35.17,0.58
209.0,1608.0,223.0,80.7,324.86,89.87,33.54,0.56
156.0,1634.0,143.0,81.04,329.34,86.81,35.0,0.58
236.0,1610.0,244.0,80.63,321.53,91.4,34.72,0.56
230.0,1613.0,254.0,80.58,325.01,87.93,33.77,0.6
212.0,1633.0,234.0,80.82,323.0,86.07,34.43,0.59
188.0,1645.0,154.0,80.84,322.42,87.14,34.63,0.58
257.0,1625.0,261.0,80.62,312.29,86.53,33.51,0.58
218.0,1640.0,240.0,81.3,317.38,89.93,34.49,0.58
204.0,1574.0,255.0,81.24,317.03,86.24,34.32,0.56
242.0,1627.0,276.0,81.17,311.64,90.09,33.57,0.59
188.0,1642.0,153.0,81.24,316.0,88.64,37.68,0.58
234.0,1605.0,274.0,81.02,314.41,89.31,35.26,0.59
249.0,1600.0,239.0,80.75,317.24,86.37,36.4,0.58
227.0,1648.0,275.0,81.56,313.8,88.88,36.03,0.6
249.0,1639.0,303.0,81.09,312.99,88.12,34.77,0.58
244.0,1626.0,280.0,81.06,313.44,88.28,34.3,0.58
249.0,1622.0,293.0,81.4,313.43,90.71,35.99,0.59
221.0,1633.0,281.0,80.92,314.46,89.56,35.35,0.59
244.0,1634.0,279.0,81.08,314.74,89.33,34.59,0.61
223.0,1647.0,274.0,80.87,319.07,87.82,35.58,0.61
215.0,1640.0,283.0,80.67,319.77,86.77,36.59,0.6
205.0,1642.0,281.0,80.7,317.68,88.47,34.71,0.6
