D1,DpB,T3,T4,P,M01,TS1,SF,YsynA
225.0,306.0,82.15,81.01,319.55,87.45,34.59,30.36,0.59
253.0,304.0,81.89,80.68,319.96,83.6,34.75,31.62,0.58
200.0,277.0,81.46,80.85,321.53,80.71,34.7,28.24,0.61
210.0,286.0,81.77,81.14,321.91,82.83,35.76,30.99,0.6
227.0,319.0,82.19,81.31,318.65,86.77,33.95,34.0,0.56
206.0,291.0,81.76,81.17,324.07,81.84,34.83,30.38,0.61
207.0,304.0,81.95,81.3,323.34,82.9,35.81,31.97,0.59
210.0,298.0,82.12,81.47,322.18,84.38,35.21,32.1,0.58
214.0,291.0,82.3,81.64,321.02,85.86,35.5,31.42,0.54
216.0,293.0,82.39,81.75,319.98,87.17,34.38,29.89,0.58
216.0,315.0,82.14,81.68,319.5,88.12,33.8,32.76,0.59
212.0,306.0,81.93,81.41,319.86,85.58,34.45,30.68,0.61
223.0,301.0,81.97,81.3,322.49,85.4,34.05,30.68,0.56
226.0,325.0,81.73,80.8,319.64,88.72,34.71,33.97,0.59
243.0,323.0,81.99,80.81,319.99,83.4,35.53,32.16,0.57
242.0,313.0,82.24,81.09,319.51,81.8,35.11,31.4,0.54
198.0,295.0,82.08,81.59,323.11,83.98,35.03,30.25,0.63
219.0,296.0,82.23,81.42,323.16,85.02,34.58,31.23,0.58
229.0,315.0,82.2,81.28,318.15,84.53,35.3,32.58,0.58
223.0,307.0,82.07,80.96,320.74,79.74,35.18,26.46,0.62
238.0,306.0,82.65,81.38,320.76,84.5,35.34,28.33,0.61
218.0,326.0,82.47,81.26,316.73,84.88,34.92,30.01,0.59
215.0,325.0,82.45,81.27,320.1,85.01,33.17,30.43,0.6
203.0,305.0,82.07,81.11,321.44,83.6,33.04,29.94,0.61
210.0,306.0,82.26,81.51,321.83,84.89,34.05,31.29,0.59
249.0,311.0,81.59,80.39,321.04,80.88,34.6,30.08,0.59
233.0,320.0,81.83,80.45,321.77,81.55,34.44,28.15,0.58
247.0,301.0,82.17,80.61,322.38,82.1,36.21,29.21,0.57
230.0,318.0,82.47,81.02,321.94,82.64,35.54,29.52,0.58
254.0,318.0,82.31,80.96,322.21,81.26,34.56,31.41,0.59
237.0,302.0,82.24,80.9,323.84,80.21,35.14,31.35,0.57
189.0,252.0,81.03,81.28,318.31,84.19,36.28,30.86,0.59
209.0,283.0,82.03,80.87,317.97,84.28,35.72,31.48,0.62
