D1,DS1,DSF,DpA,DpB,T1,T2,T3,T4,deltaT,P,M01,M02,VA,VB,D2A,D2B,Ds,TS1,SF,D3A,D3B,DS2A,DS2B,POA,POB,TsA,TsB,SFA,SFB,DgA,YseA,YsynA,YuntA,CaoA,DgB,YseB,YsynB,YuntB,CaoB,Ym,CaO,R
206.0,1669.0,96.0,170.0,298.0,89.0,82.46,82.36,81.61,0.755,312.5,92.93,61.33,434.0,478.0,413.0,398.0,1468.0,30.35,29.33,91.53,78.14,1235.0,1239.0,25.03,25.1,1.12,1.04,31.85,31.36,129.0,0.18,0.59,0.19,32.47,127.0,0.14,0.6,0.2,32.78500000000001,0.95,32.730000000000004,95.25
218.0,1651.0,99.0,175.0,299.0,89.0,82.34,81.98,81.17,0.812,310.48,90.22,62.43,494.0,541.0,371.0,402.0,1468.0,31.11,31.77,75.29,95.31,1231.0,1234.0,25.03,25.1,1.12,1.04,31.85,31.36,129.0,0.19,0.56,0.2,32.37,129.0,0.21,0.58,0.21,32.47,0.975,32.42,94.89
142.0,1665.0,71.0,135.5,242.0,84.0,82.1,81.74,80.99,0.878,314.67,89.3,72.63,609.0,555.0,328.0,439.0,1487.0,33.09,30.26,87.38,101.04,1241.0,1233.0,25.11,24.93,1.18,1.13,24.5,25.97,138.0,0.2,0.6,0.2,32.56,142.0,0.22,0.59,0.2,32.5,1.005,32.53,94.75
184.0,1644.0,89.0,135.5,308.0,87.0,82.37,82.32,81.53,0.798,316.01,93.13,56.94,511.0,510.0,355.0,406.0,1470.0,31.11,30.88,93.69,81.8,1231.0,1235.0,25.11,24.93,1.18,1.13,24.5,25.97,116.0,0.15,0.59,0.19,32.55,120.0,0.12,0.58,0.21,32.49,0.92,32.52,95.19
228.0,1636.0,100.0,178.0,301.0,90.0,82.58,82.45,81.24,1.205,311.88,92.96,73.77,502.0,572.0,394.0,410.0,1461.0,30.14,28.17,91.82,78.59,1232.0,1233.0,25.11,24.93,1.18,1.13,24.5,25.97,123.0,0.18,0.6,0.22,32.58,125.0,0.23500000000000001,0.59,0.2,32.5,1.0274999999999999,32.54,94.66499999999998
196.0,1628.0,90.0,173.0,323.0,87.0,82.49,81.98,81.54,0.447,313.85,92.87,65.12,452.0,406.0,403.0,452.0,1482.0,32.04,31.08,92.62,99.63,1242.0,1241.0,24.49,24.7,1.05,1.12,25.97,25.48,131.0,0.16,0.61,0.21,32.4,137.0,0.14,0.59,0.21,32.36,0.96,32.38,94.96
221.0,1608.0,98.0,193.0,300.0,91.0,82.06,81.89,81.01,0.88,310.11,92.87,66.34,480.0,526.0,454.0,413.0,1458.0,30.39,31.36,91.71,93.84,1231.0,1234.0,24.49,24.7,1.05,1.12,25.97,25.48,122.0,0.14,0.6,0.21,32.34,122.0,0.12,0.6,0.2,32.31,0.935,32.33,95.08
218.0,1605.0,97.0,178.0,299.0,90.0,82.19,82.05,81.53,0.524,310.02,91.69,64.46,417.0,499.0,421.0,387.0,1458.0,30.21,28.06,106.25,79.06,1233.0,1234.0,24.49,24.7,1.05,1.12,25.97,25.48,113.0,0.23500000000000001,0.6,0.2,32.6,114.0,0.23500000000000001,0.58,0.2,32.55,1.0274999999999999,32.58,94.66499999999998
173.0,1630.0,76.0,175.0,332.0,85.0,82.21,81.95,81.26,0.692,318.25,90.25,84.64,601.0,440.0,288.0,449.0,1474.0,32.72,30.63,111.97,101.04,1234.0,1235.0,24.39,24.95,0.8,0.79,28.91,29.4,148.0,,,,32.56,132.0,0.12,0.59,0.2,32.4,,32.730000000000004,
157.0,1616.0,71.0,135.5,318.0,85.0,82.26,82.19,80.85,1.333,320.27,90.98,103.06,648.0,541.0,330.0,448.0,1462.0,31.5,30.68,117.67,105.32,1232.0,1231.0,24.39,24.95,0.8,0.79,28.91,29.4,121.0,,,,,117.0,0.1,0.61,0.2,32.265,,,
196.0,1612.0,90.0,157.0,279.0,92.0,82.63,82.22,82.02,0.198,313.06,89.94,103.06,361.0,456.0,387.0,380.0,1451.0,30.07,28.84,102.55,86.74,1231.0,1231.0,24.39,24.95,0.8,0.79,28.91,29.4,109.0,0.11,0.6,0.2,32.51,110.0,0.23500000000000001,0.59,0.2,32.56,0.99,32.54,94.83
195.0,1627.0,90.0,172.0,284.0,93.0,82.46,82.4,82.0,0.396,313.01,92.54,103.06,515.0,593.0,373.0,370.0,1471.0,32.07,33.73,85.02,67.51,1230.0,1232.0,24.61,24.55,0.89,0.92,29.4,29.89,106.0,0.07,0.6,0.2,32.39,101.0,0.1,0.61,0.21,32.4,0.895,32.4,95.3
197.0,1629.0,90.0,181.0,286.0,92.0,82.5,82.26,82.1,0.155,312.71,93.16,103.06,415.0,496.0,391.0,377.0,1472.0,31.63,29.28,95.32,83.74,1234.0,1236.0,24.61,24.55,0.89,0.92,29.4,29.89,115.0,0.23500000000000001,0.59,0.21,32.26,115.0,0.23500000000000001,0.6,0.21,32.265,1.0274999999999999,32.33,94.66499999999998
199.0,1628.0,92.0,177.0,287.0,91.0,82.46,82.3,81.93,0.361,313.12,93.59,103.06,471.0,543.0,387.0,374.0,1453.0,30.55,30.21,96.84,77.35,1229.0,1229.0,24.61,24.55,0.89,0.92,29.4,29.89,110.0,0.23500000000000001,0.59,0.21,32.5,111.0,0.1,0.61,0.2,32.54,1.025,32.52,94.66499999999998
190.0,1630.0,88.0,171.0,291.0,91.0,82.51,82.38,81.83,0.554,314.0,91.53,98.09,534.0,549.0,347.0,392.0,1455.0,29.99,31.17,89.04,90.51,1236.0,1236.0,24.93,24.64,1.2,1.08,23.52,24.5,114.0,0.12,0.6,0.21,32.43,112.0,0.11,0.57,0.19,32.37,0.9,32.4,95.28
199.0,1628.0,90.0,182.0,280.0,91.0,82.3,82.04,81.88,0.161,313.93,93.05,53.67,446.0,489.0,374.0,383.0,1461.0,31.08,31.9,85.61,91.48,1234.0,1233.0,24.93,24.64,1.2,1.08,23.52,24.5,114.0,0.08,0.6,0.2,32.44,114.0,0.17,0.58,0.21,32.4,0.92,32.42,95.18
205.0,1601.0,90.0,171.0,284.0,91.0,82.19,82.0,81.68,0.324,313.9,92.64,63.12,476.0,531.0,380.0,395.0,1452.0,30.76,28.54,79.88,98.72,1234.0,1227.0,24.93,24.64,1.2,1.08,23.52,24.5,109.0,0.22,0.59,0.2,32.52,113.0,0.18,0.6,0.2,32.46,0.995,32.49,94.79
198.0,1617.0,90.0,181.0,290.0,89.0,82.3,82.18,81.83,0.349,314.21,92.86,57.76,459.0,509.0,387.0,384.0,1460.0,31.78,31.73,85.2,88.99,1226.0,1225.0,24.12,24.22,1.22,1.11,26.44,27.93,109.0,0.21,0.59,0.21,32.35,110.0,0.11,0.59,0.21,32.51,0.96,32.43,94.97
171.0,1627.0,82.0,187.0,298.0,88.0,82.36,81.75,81.54,0.596,315.2,92.14,65.25,568.0,548.0,357.0,395.0,1456.0,30.36,28.85,77.39,83.98,1229.0,1217.0,24.12,24.22,1.22,1.11,26.44,27.93,117.0,0.13,0.6,0.2,32.48,116.0,0.12,0.58,0.21,32.52,0.92,32.5,95.19
