D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
227.0,1620.0,246.0,83.0,81.87,81.18,316.17,90.54,33.2,36.46,0.56,383.0
205.0,1620.0,188.0,84.0,81.71,80.87,317.85,89.84,32.27,28.97,0.58,338.0
180.0,1641.0,158.0,84.0,81.79,81.29,322.53,90.14,35.67,25.52,0.56,366.0
251.0,1625.0,234.0,86.0,82.41,81.45,319.27,91.69,35.97,36.46,0.57,404.5
245.0,1620.0,242.0,86.0,82.73,81.73,317.63,92.82,33.54,33.57,0.57,416.0
234.0,1628.0,242.0,84.0,82.4,81.69,321.04,90.36,34.04,29.29,0.56,382.0
217.0,1622.0,235.0,84.0,82.18,81.53,314.21,91.31,34.13,33.2,0.57,377.0
205.0,1624.0,230.0,85.0,82.11,81.53,324.14,89.31,33.77,26.35,0.56,381.5
195.0,1639.0,222.0,84.0,82.15,81.39,327.02,88.78,34.38,32.38,0.55,346.0
200.0,1653.0,210.0,86.0,82.45,81.33,324.98,90.14,34.45,28.92,0.57,320.5
213.0,1635.0,245.0,84.0,82.11,81.48,319.58,91.79,35.7,31.35,0.56,366.5
224.0,1636.0,222.0,84.0,82.07,80.87,320.61,90.61,34.2,31.37,0.57,350.5
189.0,1619.0,225.0,82.0,81.97,80.95,326.81,89.11,33.75,28.59,0.55,340.0
200.0,1626.0,241.0,84.0,81.68,80.96,321.94,90.26,34.91,30.92,0.57,351.0
169.0,1645.0,190.0,83.0,82.0,80.94,332.07,88.19,33.8,33.5,0.56,332.5
224.0,1632.0,242.0,86.0,82.03,81.25,321.29,91.75,34.08,30.01,0.57,364.5
225.0,1638.0,242.0,86.0,82.09,81.47,324.31,91.24,33.18,25.44,0.53,349.5
215.0,1636.0,245.0,84.0,81.88,81.24,316.43,92.66,34.33,33.81,0.55,357.5
243.0,1626.0,271.0,85.0,82.23,80.88,314.99,93.11,34.26,33.69,0.56,419.0
245.0,1622.0,275.0,86.0,82.09,81.03,315.0,93.21,32.99,30.56,0.57,419.0
213.0,1650.0,228.0,86.0,82.41,81.62,318.48,90.38,33.05,28.76,0.58,359.0
251.0,1635.0,237.0,86.0,82.51,81.44,315.06,91.01,35.27,32.83,0.57,373.5
245.0,1637.0,262.0,85.0,82.04,81.23,314.05,91.89,33.22,30.41,0.56,394.0
211.0,1614.0,248.0,85.0,81.95,80.64,323.38,88.92,34.71,33.65,0.57,369.0
226.0,1617.0,238.0,87.0,81.96,81.43,319.37,88.7,35.16,33.69,0.57,360.0
228.0,1610.0,219.0,88.0,82.0,81.39,319.32,89.58,32.79,28.42,0.58,363.0
232.0,1613.0,228.0,88.0,82.1,81.55,322.35,88.86,34.46,30.26,0.56,354.5
213.0,1626.0,248.0,88.0,82.18,81.14,319.75,88.83,34.18,30.32,0.56,376.5
217.0,1638.0,241.0,88.0,82.35,81.5,319.33,91.14,33.74,29.88,0.54,355.5
219.0,1644.0,234.0,86.0,82.31,81.55,315.22,92.06,33.5,29.95,0.56,353.0
218.0,1645.0,226.0,87.0,82.25,81.41,318.11,90.8,33.95,33.45,0.57,364.0
219.0,1653.0,259.0,87.0,82.2,81.06,318.06,91.29,34.07,34.11,0.56,367.5
217.0,1635.0,223.0,87.0,82.76,80.6,323.34,87.81,35.66,31.73,0.54,332.5
209.0,1666.0,240.0,87.0,82.9,81.34,319.96,90.53,34.09,29.28,0.58,370.5
193.0,1644.0,236.0,87.0,82.07,80.87,319.85,86.85,34.04,31.61,0.57,379.5
236.0,1633.0,258.0,90.0,82.06,80.42,317.66,86.57,33.5,31.11,0.57,382.0
156.0,1654.0,168.0,86.0,82.34,81.14,326.74,85.32,33.47,28.3,0.56,398.0
183.0,1675.0,266.0,92.0,82.35,81.09,319.78,86.54,35.03,31.79,0.59,376.5
218.0,1642.0,272.0,86.0,82.58,81.18,319.51,87.68,34.03,27.08,0.55,391.5
241.0,1638.0,265.0,89.0,81.97,80.42,318.64,89.65,33.64,29.87,0.57,398.5
249.0,1616.0,270.0,88.0,81.79,80.19,319.99,89.57,34.69,31.0,0.58,423.5
197.0,1636.0,258.0,87.0,81.58,80.39,327.58,87.48,32.95,31.75,0.55,366.0
165.0,1637.0,245.0,85.0,80.99,79.88,330.3,84.86,33.59,28.84,0.56,336.5
237.0,1631.0,233.0,92.0,82.45,80.98,323.88,88.85,34.95,29.7,0.58,370.0
234.0,1615.0,261.0,89.0,82.23,80.83,319.75,87.7,33.72,30.69,0.56,391.0
199.0,1626.0,242.0,87.0,81.58,80.28,321.21,86.27,33.29,29.58,0.55,359.0
232.0,1625.0,246.0,90.0,82.24,80.69,324.26,85.77,35.17,32.52,0.56,373.5
209.0,1608.0,223.0,87.0,82.13,80.7,324.86,89.87,33.54,27.39,0.54,344.5
156.0,1634.0,143.0,86.0,82.14,81.04,329.34,86.81,35.0,28.3,0.57,359.5
236.0,1610.0,244.0,89.0,82.42,80.63,321.53,91.4,34.72,31.48,0.58,403.5
230.0,1613.0,254.0,89.0,82.13,80.58,325.01,87.93,33.77,30.36,0.57,368.0
212.0,1633.0,234.0,88.0,82.28,80.82,323.0,86.07,34.43,33.0,0.6,356.5
188.0,1645.0,154.0,88.0,82.23,80.84,322.42,87.14,34.63,28.67,0.57,361.0
257.0,1625.0,261.0,89.0,82.67,80.62,312.29,86.53,33.51,26.51,0.57,403.0
218.0,1640.0,240.0,88.0,82.82,81.3,317.38,89.93,34.49,28.83,0.59,361.0
204.0,1574.0,255.0,85.0,80.92,81.24,317.03,86.24,34.32,31.01,0.57,361.5
242.0,1627.0,276.0,87.0,82.41,81.17,311.64,90.09,33.57,30.75,0.61,420.5
188.0,1642.0,153.0,87.0,82.07,81.24,316.0,88.64,37.68,33.46,0.59,361.5
234.0,1605.0,274.0,89.0,82.47,81.02,314.41,89.31,35.26,29.7,0.58,385.5
249.0,1600.0,239.0,92.0,82.32,80.75,317.24,86.37,36.4,36.87,0.57,378.0
227.0,1648.0,275.0,87.0,82.9,81.56,313.8,88.88,36.03,32.41,0.59,381.0
249.0,1639.0,303.0,86.0,82.42,81.09,312.99,88.12,34.77,31.55,0.57,411.5
244.0,1626.0,280.0,87.0,82.57,81.06,313.44,88.28,34.3,30.57,0.59,406.5
249.0,1622.0,293.0,89.0,82.85,81.4,313.43,90.71,35.99,28.66,0.6,397.0
221.0,1633.0,281.0,87.0,82.16,80.92,314.46,89.56,35.35,31.24,0.59,441.0
244.0,1634.0,279.0,89.0,82.64,81.08,314.74,89.33,34.59,33.08,0.62,400.5
223.0,1647.0,274.0,87.0,82.3,80.87,319.07,87.82,35.58,32.53,0.63,382.5
215.0,1640.0,283.0,87.0,82.44,80.67,319.77,86.77,36.59,31.36,0.62,369.0
205.0,1642.0,281.0,86.0,82.47,80.7,317.68,88.47,34.71,29.03,0.61875,377.5
