D1,DS1,DpB,T1,T3,T4,P,M01,TS1,SF,YsynA,D2
168.0,1651.0,299.0,88.0,81.78,81.63,326.29,79.81,34.34,33.15,0.6,364.5
220.0,1621.0,366.0,91.0,82.09,81.37,331.44,77.01,32.54,28.42,0.58,445.0
217.0,1604.0,311.0,90.0,81.95,81.43,332.11,76.9,34.53,31.17,0.59,394.0
213.0,1633.0,307.0,92.0,81.38,80.69,321.36,76.25,33.0,32.59,0.6,394.0
232.0,1586.0,320.0,93.0,81.82,80.95,326.03,75.39,34.29,28.73,0.59,438.5
209.0,1606.0,278.0,94.0,82.01,81.17,328.68,76.09,34.95,26.79,0.59,398.0
236.0,1610.0,296.0,92.0,81.92,80.96,324.37,76.77,36.27,28.0,0.6,418.5
246.0,1595.0,307.0,87.0,82.25,81.08,323.07,81.34,34.9,31.97,0.59,432.5
247.0,1607.0,304.0,87.0,82.3,81.19,319.21,83.69,34.05,29.02,0.59,426.0
211.0,1593.0,305.0,87.0,81.88,81.12,324.54,79.11,34.63,27.82,0.61,427.0
192.0,1628.0,294.0,85.0,81.79,81.31,326.12,81.21,34.58,32.04,0.61,394.5
175.0,1634.0,271.0,84.0,81.7,80.54,327.73,76.5,35.27,26.58,0.59,366.0
160.0,1645.0,267.0,84.0,81.89,80.72,329.52,83.36,34.71,31.02,0.6,373.0
165.0,1614.0,164.0,87.0,81.67,80.97,331.96,76.01,35.18,25.51,0.59,379.5
189.0,1650.0,276.0,88.0,81.98,81.42,329.66,77.7,35.36,30.35,0.59,370.5
221.0,1619.0,310.0,91.0,81.83,81.23,324.58,77.77,34.35,29.95,0.6,426.0
232.0,1614.0,311.0,92.0,81.93,81.31,319.97,81.47,35.12,28.91,0.58,422.5
226.0,1607.0,319.0,92.0,81.64,80.91,320.19,78.69,35.71,26.83,0.59,430.5
212.0,1647.0,292.0,87.0,82.14,81.5,326.97,86.08,34.33,33.57,0.57,400.5
208.0,1640.0,302.0,87.0,81.74,81.33,324.92,85.22,34.61,32.8,0.6,390.5
224.0,1679.0,298.0,90.0,81.8,81.23,319.48,90.34,33.77,35.71,0.59,415.5
221.0,1673.0,308.0,89.0,81.72,80.95,322.56,81.5,35.03,32.71,0.6,418.0
250.0,1647.0,307.0,90.0,82.3,81.2,319.83,85.47,36.1,25.9,0.61,424.5
231.0,1627.0,316.0,85.0,82.25,80.95,318.96,84.83,33.9,36.11,0.57,429.5
225.0,1606.0,306.0,83.0,82.15,81.01,319.55,87.45,34.59,30.36,0.59,401.5
253.0,1623.0,304.0,87.0,81.89,80.68,319.96,83.6,34.75,31.62,0.58,429.0
200.0,1640.0,277.0,84.0,81.46,80.85,321.53,80.71,34.7,28.24,0.61,360.5
210.0,1657.0,286.0,84.0,81.77,81.14,321.91,82.83,35.76,30.99,0.6,389.0
227.0,1654.0,319.0,85.0,82.19,81.31,318.65,86.77,33.95,34.0,0.56,434.5
206.0,1631.0,291.0,84.0,81.76,81.17,324.07,81.84,34.83,30.38,0.61,354.5
207.0,1634.0,304.0,84.0,81.95,81.3,323.34,82.9,35.81,31.97,0.59,357.0
210.0,1639.0,298.0,84.0,82.12,81.47,322.18,84.38,35.21,32.1,0.58,367.5
214.0,1645.0,291.0,84.0,82.3,81.64,321.02,85.86,35.5,31.42,0.54,378.0
216.0,1639.0,293.0,83.0,82.39,81.75,319.98,87.17,34.38,29.89,0.58,387.5
216.0,1659.0,315.0,85.0,82.14,81.68,319.5,88.12,33.8,32.76,0.59,401.0
212.0,1655.0,306.0,86.0,81.93,81.41,319.86,85.58,34.45,30.68,0.61,400.5
223.0,1639.0,301.0,85.0,81.97,81.3,322.49,85.4,34.05,30.68,0.56,399.0
226.0,1641.0,325.0,84.0,81.73,80.8,319.64,88.72,34.71,33.97,0.59,437.0
243.0,1639.0,323.0,84.0,81.99,80.81,319.99,83.4,35.53,32.16,0.57,447.0
242.0,1625.0,313.0,85.0,82.24,81.09,319.51,81.8,35.11,31.4,0.54,442.0
198.0,1644.0,295.0,83.0,82.08,81.59,323.11,83.98,35.03,30.25,0.63,385.0
219.0,1635.0,296.0,85.0,82.23,81.42,323.16,85.02,34.58,31.23,0.58,409.5
229.0,1643.0,315.0,86.0,82.2,81.28,318.15,84.53,35.3,32.58,0.58,421.0
223.0,1636.0,307.0,88.0,82.07,80.96,320.74,79.74,35.18,26.46,0.62,406.0
238.0,1649.0,306.0,88.0,82.65,81.38,320.76,84.5,35.34,28.33,0.61,395.0
218.0,1655.0,326.0,87.0,82.47,81.26,316.73,84.88,34.92,30.01,0.59,409.5
215.0,1666.0,325.0,89.0,82.45,81.27,320.1,85.01,33.17,30.43,0.6,442.0
203.0,1671.0,305.0,87.0,82.07,81.11,321.44,83.6,33.04,29.94,0.61,397.5
210.0,1655.0,306.0,87.0,82.26,81.51,321.83,84.89,34.05,31.29,0.59,397.0
249.0,1625.0,311.0,87.0,81.59,80.39,321.04,80.88,34.6,30.08,0.59,417.0
