DS1,DpA,DpB,T1,T4,deltaT,P,M01,VA,TS1,YuntA
1639.0,231.0,301.0,85.0,81.3,0.672,322.49,85.4,431.0,34.05,0.21
1641.0,253.0,325.0,84.0,80.8,0.927,319.64,88.72,232.0,34.71,0.19
1639.0,240.0,323.0,84.0,80.81,1.182,319.99,83.4,265.0,35.53,0.22
1625.0,248.0,313.0,85.0,81.09,1.15,319.51,81.8,323.0,35.11,0.21
1644.0,188.0,295.0,83.0,81.59,0.485,323.11,83.98,368.0,35.03,0.2
1635.0,224.0,296.0,85.0,81.42,0.805,323.16,85.02,353.0,34.58,0.22
1643.0,246.0,315.0,86.0,81.28,0.919,318.15,84.53,314.0,35.3,0.21
1636.0,234.0,307.0,88.0,80.96,1.111,320.74,79.74,334.0,35.18,0.2
1649.0,196.0,306.0,88.0,81.38,1.269,320.76,84.5,461.0,35.34,0.21
1655.0,218.0,326.0,87.0,81.26,1.213,316.73,84.88,335.0,34.92,0.21
1666.0,258.0,325.0,89.0,81.27,1.174,320.1,85.01,284.0,33.17,0.21
1671.0,235.0,305.0,87.0,81.11,0.96,321.44,83.6,400.0,33.04,0.22
1655.0,225.0,306.0,87.0,81.51,0.756,321.83,84.89,402.0,34.05,0.2
1625.0,247.0,311.0,87.0,80.39,1.191,321.04,80.88,318.0,34.6,0.21
1634.0,255.0,320.0,88.0,80.45,1.381,321.77,81.55,280.0,34.44,0.22
1633.0,205.0,301.0,87.0,80.61,1.555,322.38,82.1,313.0,36.21,0.22
1644.0,243.0,318.0,88.0,81.02,1.449,321.94,82.64,285.0,35.54,0.2
1624.0,239.0,318.0,89.0,80.96,1.352,322.21,81.26,301.0,34.56,0.21
1616.0,218.0,302.0,88.0,80.9,1.343,323.84,80.21,343.0,35.14,0.22
1670.0,241.0,252.0,86.0,81.28,0.867,318.31,84.19,368.0,36.28,0.21
1664.0,238.0,283.0,83.0,80.87,1.16,317.97,84.28,406.0,35.72,0.2
1673.0,229.0,275.0,83.0,81.33,1.017,318.19,86.56,443.0,37.71,0.21
1656.0,189.0,184.0,81.0,80.82,0.982,326.78,83.07,470.0,32.4,0.19
1628.0,225.0,307.0,85.0,80.95,1.105,322.82,84.01,355.0,31.94,0.2
1646.0,200.0,305.0,82.0,80.59,1.173,331.06,81.63,585.0,31.21,0.2
1631.0,210.0,301.0,83.0,80.98,1.226,327.74,84.38,444.0,31.78,0.2
1650.0,239.0,312.0,84.0,80.7,1.424,322.7,83.23,301.0,32.4,0.21
1650.0,259.0,327.0,83.0,81.07,1.462,322.81,88.03,373.0,31.22,0.2
1632.0,238.0,313.0,85.0,80.8,1.499,324.18,84.33,433.0,32.62,0.21
1654.0,226.0,308.0,84.0,81.09,1.307,323.15,83.87,402.0,31.36,0.21
1681.0,208.0,299.0,84.0,80.86,1.088,325.76,81.2,522.0,32.38,0.2
1659.0,155.0,306.0,82.0,80.77,1.286,328.49,81.92,529.0,31.28,0.2
1652.0,218.0,283.0,85.0,81.21,1.201,323.04,85.08,408.0,34.95,0.21
1645.0,209.0,324.0,84.0,81.06,1.016,321.14,83.86,423.0,32.6,0.2
1642.0,220.0,309.0,86.0,80.98,1.331,319.99,85.37,424.0,33.43,0.2
1640.0,220.0,315.0,85.0,81.01,1.408,324.51,83.21,381.0,31.25,0.2
1652.0,231.0,280.0,85.0,81.04,1.035,325.26,84.58,454.0,31.48,0.2
1631.0,236.0,310.0,90.0,81.11,1.012,323.33,84.57,357.0,33.82,0.2
1625.0,237.0,316.0,91.0,80.8,0.748,330.62,79.41,325.0,32.5,0.21
