D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
226.0,1617.0,238.0,87.0,81.96,81.43,319.37,88.7,72.51,35.16,0.17
228.0,1610.0,219.0,88.0,82.0,81.39,319.32,89.58,56.4,32.79,0.16
232.0,1613.0,228.0,88.0,82.1,81.55,322.35,88.86,60.77,34.46,0.17
213.0,1626.0,248.0,88.0,82.18,81.14,319.75,88.83,72.33,34.18,0.18
217.0,1638.0,241.0,88.0,82.35,81.5,319.33,91.14,68.44,33.74,0.17
219.0,1644.0,234.0,86.0,82.31,81.55,315.22,92.06,72.8,33.5,0.17
218.0,1645.0,226.0,87.0,82.25,81.41,318.11,90.8,75.97,33.95,0.16
219.0,1653.0,259.0,87.0,82.2,81.06,318.06,91.29,85.04,34.07,0.17
217.0,1635.0,223.0,87.0,82.76,80.6,323.34,87.81,62.36,35.66,0.17
209.0,1666.0,240.0,87.0,82.9,81.34,319.96,90.53,76.17,34.09,0.18
193.0,1644.0,236.0,87.0,82.07,80.87,319.85,86.85,85.7,34.04,0.17
236.0,1633.0,258.0,90.0,82.06,80.42,317.66,86.57,69.42,33.5,0.17
156.0,1654.0,168.0,86.0,82.34,81.14,326.74,85.32,74.28,33.47,0.19
183.0,1675.0,266.0,92.0,82.35,81.09,319.78,86.54,71.81,35.03,0.17
218.0,1642.0,272.0,86.0,82.58,81.18,319.51,87.68,73.74,34.03,0.16
241.0,1638.0,265.0,89.0,81.97,80.42,318.64,89.65,77.69,33.64,0.16
249.0,1616.0,270.0,88.0,81.79,80.19,319.99,89.57,88.58,34.69,0.18
197.0,1636.0,258.0,87.0,81.58,80.39,327.58,87.48,79.03,32.95,0.18
165.0,1637.0,245.0,85.0,80.99,79.88,330.3,84.86,69.26,33.59,0.17
237.0,1631.0,233.0,92.0,82.45,80.98,323.88,88.85,60.99,34.95,0.18
234.0,1615.0,261.0,89.0,82.23,80.83,319.75,87.7,81.02,33.72,0.17
199.0,1626.0,242.0,87.0,81.58,80.28,321.21,86.27,56.61,33.29,0.18
232.0,1625.0,246.0,90.0,82.24,80.69,324.26,85.77,69.04,35.17,0.19
209.0,1608.0,223.0,87.0,82.13,80.7,324.86,89.87,72.18,33.54,0.17
156.0,1634.0,143.0,86.0,82.14,81.04,329.34,86.81,88.74,35.0,0.19
236.0,1610.0,244.0,89.0,82.42,80.63,321.53,91.4,81.38,34.72,0.17
230.0,1613.0,254.0,89.0,82.13,80.58,325.01,87.93,73.25,33.77,0.17
212.0,1633.0,234.0,88.0,82.28,80.82,323.0,86.07,63.08,34.43,0.17
188.0,1645.0,154.0,88.0,82.23,80.84,322.42,87.14,61.63,34.63,0.2
257.0,1625.0,261.0,89.0,82.67,80.62,312.29,86.53,72.38,33.51,0.17
218.0,1640.0,240.0,88.0,82.82,81.3,317.38,89.93,74.89,34.49,0.17
204.0,1574.0,255.0,85.0,80.92,81.24,317.03,86.24,78.37,34.32,0.18
242.0,1627.0,276.0,87.0,82.41,81.17,311.64,90.09,93.64,33.57,0.19
188.0,1642.0,153.0,87.0,82.07,81.24,316.0,88.64,90.68,37.68,0.18
234.0,1605.0,274.0,89.0,82.47,81.02,314.41,89.31,65.44,35.26,0.17
249.0,1600.0,239.0,92.0,82.32,80.75,317.24,86.37,70.02,36.4,0.18
227.0,1648.0,275.0,87.0,82.9,81.56,313.8,88.88,81.41,36.03,0.17
249.0,1639.0,303.0,86.0,82.42,81.09,312.99,88.12,93.89,34.77,0.17
244.0,1626.0,280.0,87.0,82.57,81.06,313.44,88.28,64.78,34.3,0.18
249.0,1622.0,293.0,89.0,82.85,81.4,313.43,90.71,72.42,35.99,0.17
221.0,1633.0,281.0,87.0,82.16,80.92,314.46,89.56,92.77,35.35,0.18
244.0,1634.0,279.0,89.0,82.64,81.08,314.74,89.33,72.67,34.59,0.18
223.0,1647.0,274.0,87.0,82.3,80.87,319.07,87.82,74.22,35.58,0.17
215.0,1640.0,283.0,87.0,82.44,80.67,319.77,86.77,64.28,36.59,0.17
205.0,1642.0,281.0,86.0,82.47,80.7,317.68,88.47,63.33,34.71,0.18
