D1,DS1,DpB,T1,T3,T4,P,M01,M02,TS1,YuntB
236.0,1610.0,296.0,92.0,81.92,80.96,324.37,76.77,67.32,36.27,0.21
246.0,1595.0,307.0,87.0,82.25,81.08,323.07,81.34,77.53,34.9,0.21
247.0,1607.0,304.0,87.0,82.3,81.19,319.21,83.69,77.61,34.05,0.2
211.0,1593.0,305.0,87.0,81.88,81.12,324.54,79.11,81.27,34.63,0.21
192.0,1628.0,294.0,85.0,81.79,81.31,326.12,81.21,76.23,34.58,0.19
175.0,1634.0,271.0,84.0,81.7,80.54,327.73,76.5,65.93,35.27,0.19
160.0,1645.0,267.0,84.0,81.89,80.72,329.52,83.36,85.18,34.71,0.21
165.0,1614.0,164.0,87.0,81.67,80.97,331.96,76.01,62.0,35.18,0.2
189.0,1650.0,276.0,88.0,81.98,81.42,329.66,77.7,52.39,35.36,0.2
221.0,1619.0,310.0,91.0,81.83,81.23,324.58,77.77,94.69,34.35,0.21
232.0,1614.0,311.0,92.0,81.93,81.31,319.97,81.47,85.31,35.12,0.22
226.0,1607.0,319.0,92.0,81.64,80.91,320.19,78.69,91.26,35.71,0.22
212.0,1647.0,292.0,87.0,82.14,81.5,326.97,86.08,78.4,34.33,0.19
208.0,1640.0,302.0,87.0,81.74,81.33,324.92,85.22,77.63,34.61,0.22
224.0,1679.0,298.0,90.0,81.8,81.23,319.48,90.34,60.29,33.77,0.2
221.0,1673.0,308.0,89.0,81.72,80.95,322.56,81.5,61.74,35.03,0.21
250.0,1647.0,307.0,90.0,82.3,81.2,319.83,85.47,72.2,36.1,0.22
231.0,1627.0,316.0,85.0,82.25,80.95,318.96,84.83,73.35,33.9,0.21
225.0,1606.0,306.0,83.0,82.15,81.01,319.55,87.45,62.81,34.59,0.21
253.0,1623.0,304.0,87.0,81.89,80.68,319.96,83.6,79.75,34.75,0.21
200.0,1640.0,277.0,84.0,81.46,80.85,321.53,80.71,54.03,34.7,0.2
