DpB,T1,T2,T4,M01,M02,VA,Ds,YseB
308.0,89.0,81.98,80.95,81.5,61.74,302.0,1493.0,0.16
307.0,90.0,82.48,81.2,85.47,72.2,380.0,1512.0,0.15
316.0,85.0,82.43,80.95,84.83,73.35,299.0,1498.0,0.17
306.0,83.0,82.35,81.01,87.45,62.81,436.0,1499.0,0.13
304.0,87.0,82.13,80.68,83.6,79.75,315.0,1491.0,0.13
277.0,84.0,81.73,80.85,80.71,54.03,481.0,1488.0,0.13
286.0,84.0,82.06,81.14,82.83,83.51,347.0,1504.0,0.12
319.0,85.0,82.34,81.31,86.77,85.31,361.0,1496.0,0.18
291.0,84.0,81.98,81.17,81.84,41.22,477.0,1492.0,0.13
304.0,84.0,82.09,81.3,82.9,46.1,485.0,1497.0,0.1
298.0,84.0,82.09,81.47,84.38,52.66,481.0,1500.0,0.13
291.0,84.0,82.09,81.64,85.86,59.21,478.0,1504.0,0.14
293.0,83.0,82.44,81.75,87.17,71.98,465.0,1495.0,0.12
315.0,85.0,82.32,81.68,88.12,78.04,424.0,1492.0,0.17
306.0,86.0,82.14,81.41,85.58,74.35,419.0,1493.0,0.18
301.0,85.0,82.14,81.3,85.4,75.08,431.0,1493.0,0.15
325.0,84.0,81.92,80.8,88.72,84.54,232.0,1499.0,0.16
323.0,84.0,82.15,80.81,83.4,76.22,265.0,1509.0,0.16
313.0,85.0,82.42,81.09,81.8,80.4,323.0,1499.0,0.12
295.0,83.0,82.25,81.59,83.98,69.15,368.0,1499.0,0.17
296.0,85.0,82.37,81.42,85.02,74.66,353.0,1465.0,0.14
315.0,86.0,82.38,81.28,84.53,84.41,314.0,1503.0,0.12
307.0,88.0,82.3,80.96,79.74,59.91,334.0,1491.0,0.19
306.0,88.0,82.87,81.38,84.5,61.81,461.0,1500.0,0.14
326.0,87.0,82.82,81.26,84.88,77.33,335.0,1509.0,0.13
325.0,89.0,82.65,81.27,85.01,77.77,284.0,1489.0,0.14
305.0,87.0,82.27,81.11,83.6,70.73,400.0,1486.0,0.11
306.0,87.0,82.48,81.51,84.89,51.34,402.0,1487.0,0.12
311.0,87.0,81.89,80.39,80.88,64.93,318.0,1487.0,0.12
